floracion_dias,altura_cm,densidad_sem,rendimiento,aceite_porcentaje,campania,tipo_ensayo,epoca,distancia_entre_surcos,tipo_siembra,testigo,visible,cultivar
55,105,60897,3765,48.69,2014-2015,Convencional,Normal,52,Directa,SI,SI,PARAISO 1100 CL PLUS
55,158,36502,1453,42.79,2009-2010,Clearfield,Normal,70,Directa,NO,SI,PARAISO 102 CL
55,159,41716,2654,38.8,2006-2007,Convencional,Normal,70,Convencional,NO,SI,DF 816
55,160,58494,3989,53.61,2014-2015,Convencional,Normal,52,Directa,NO,SI,LG 5678 CL
55,130,48215,2319,46.36,2003-2004,Convencional,Normal,52,Directa,NO,SI,KWSOL TROPEL
55,185,55632,3479,46.61,2010-2011,Convencional,Normal,52,Directa,NO,SI,KWSOL BAQUEANO
55,149,54945,3301,48.04,2010-2011,Convencional,Normal,52,Directa,SI,NO,KWSOL 492 CL
55,156,56319,3277,51.37,2010-2011,Convencional,Normal,52,Directa,NO,SI,KWSOL 362 CL
55,130,44197,2687,51.06,2003-2004,Convencional,Normal,70,Directa,NO,SI,HELIO 2001
55,139,52713,2720,47.14,2003-2004,Convencional,Normal,52,Directa,NO,SI,PAIHUEN
55,190,57950,3946,39.7,2006-2007,Convencional,Normal,52,Directa,NO,SI,PAIHUEN
55,190,45522,3190,42.4,2008-2009,Alto Oleico,Normal,70,Directa,NO,SI,PAIHUEN
55,190,45522,3190,42.4,2008-2009,Alto Oleico,Normal,70,Directa,NO,SI,PAIHUEN
55,120,49568,3402,47.04,2003-2004,Convencional,Normal,52,Directa,NO,SI,CAUQUEN
55,148,54258,2754,49.8,2010-2011,Convencional,Normal,52,Directa,NO,SI,CACIQUE 308 CL
55,155,56090,4320,53.9,2014-2015,Convencional,Normal,52,Directa,NO,SI,NTO 4.0 CL PLUS
55,175,58755,2313,40.69,2007-2008,Convencional,Normal,52,Directa,NO,SI,MG 63
55,160,63510,2662,51.41,2009-2010,Convencional,Normal,52,Directa,NO,SI,MG 60
55,190,55550,2132,41.35,2007-2008,Convencional,Normal,52,Directa,SI,NO,MG 52
55,139,60515,2944,48.59,2003-2004,Convencional,Normal,52,Directa,NO,SI,MG 50
55,140,40695,1992,43.9,2009-2010,Clearfield,Normal,70,Directa,NO,SI,S 28102 CL
55,106,59102,1215,51.48,2009-2010,Convencional,Normal,52,Directa,NO,SI,DM 230
55,166,64125,2380,46.55,2009-2010,Convencional,Normal,52,Directa,NO,SI,TEHUELCHE CL
55,157,41359,1816,44.87,2009-2010,Clearfield,Normal,70,Directa,NO,SI,TEHUELCHE
55,147,69361,2128,56.7,2009-2010,Convencional,Normal,52,Directa,NO,SI,MATACO
55,112,57187,2022,49.98,2013-2014,Convencional,Normal,52,Directa,NO,SI,AYMARA
55,101,62609,1208,52.57,2009-2010,Convencional,Normal,52,Directa,NO,SI,CSG 102
55,157,66573,2495,51.41,2009-2010,Convencional,Normal,52,Directa,NO,SI,BUCK SOLFLOR
55,145,60437,2968,49.19,2003-2004,Convencional,Normal,52,Directa,NO,SI,BUCK PAMPAFLOR
55,95,60611,902,53.47,2009-2010,Convencional,Normal,52,Directa,NO,SI,BUCK 250
55,144,48000,2645,49.86,2003-2004,Convencional,Normal,52,Directa,NO,SI,BGH 146
55,160,54970,2820,40.7,2006-2007,Convencional,Normal,52,Directa,NO,SI,RUSO 33
55,200,55594,2209,43.01,2007-2008,Convencional,Normal,52,Directa,NO,SI,TC 4055
55,150,51973,2637,40.4,2006-2007,Convencional,Normal,52,Directa,SI,NO,VDH 487
55,183,57005,3597,50.95,2010-2011,Convencional,Normal,52,Directa,SI,SI,VDH 487
55,147,51151,3075,47.5,2008-2009,Convencional,Normal,52,Directa,NO,SI,CF 27
55,195,55626,2343,43.78,2007-2008,Convencional,Normal,52,Directa,NO,SI,AGUARA 4
55,140,58494,4969,46.41,2014-2015,Convencional,Normal,52,Directa,NO,SI,AD 6712
55,179,43088,3606,43.4,2006-2007,Alto Oleico,Normal,70,Convencional,NO,SI,EXP ACA 890
55,127,70333,1366,46.22,2009-2010,Convencional,Normal,52,Directa,NO,SI,ACA 886
55,150,44535,2456,45.43,2003-2004,Convencional,Normal,70,Directa,NO,SI,ACA 884
55,155,56151,2788,38.8,2006-2007,Convencional,Normal,52,Directa,NO,SI,ACA 876
55,143,50481,2722,51.3,2016-2017,Convencional,Normal,52,Directa,NO,SI,ACA 869
55,164,55632,3699,47.91,2010-2011,Convencional,Normal,52,Directa,NO,SI,ACA 861
55,178,54258,3729,44.67,2010-2011,Convencional,Normal,52,Directa,NO,SI,ACA 203 CL
56,150,59669,2996,48.97,2003-2004,Convencional,Normal,52,Directa,NO,SI,ZR 130
56,129,49273,3395,45.47,2003-2004,Convencional,Normal,52,Directa,NO,SI,ZR 130
56,135,42654,1734,47.47,2003-2004,Convencional,Normal,70,Directa,NO,SI,ZR 123
56,160,46825,2381,39.53,2007-2008,Clearfield,Normal,70,Directa,NO,SI,ZETA 1 CL
56,94,61023,1019,53.24,2009-2010,Convencional,Normal,52,Directa,NO,SI,SIERRA
56,98,62664,1000,52.48,2009-2010,Convencional,Normal,52,Directa,NO,SI,SEA 2088
56,92,60499,957,53.95,2009-2010,Convencional,Normal,52,Directa,NO,SI,TOB 3000
56,135,45819,2645,49.09,2003-2004,Convencional,Normal,70,Directa,NO,SI,SPS 4540
56,145,59295,4274,50.72,2014-2015,Convencional,Normal,52,Directa,NO,SI,SPS 3220 AO
56,170,51146,2283,37.15,2007-2008,Clearfield,Normal,70,Directa,NO,SI,SPS 3204
56,156,54258,3143,49.26,2010-2011,Convencional,Normal,52,Directa,NO,SI,SPS 3120
56,170,60963,2541,41.7,2007-2008,Convencional,Normal,52,Directa,NO,SI,SPS 3109
56,131,58877,2698,50.46,2003-2004,Convencional,Normal,52,Directa,NO,SI,SPS 3102
56,119,51474,2670,51.04,2003-2004,Convencional,Normal,52,Directa,NO,NO,SPS 3102
56,134,49277,3726,48.02,2003-2004,Convencional,Normal,52,Directa,NO,SI,SPS 3150
56,155,41396,2617,51.16,2003-2004,Convencional,Normal,70,Directa,NO,SI,SPS 3150
56,120,33642,1599,39.2,2003-2004,Convencional,Normal,52,Convencional,NO,SI,SPS 3140
56,135,45159,1989,49.08,2003-2004,Convencional,Normal,70,Directa,NO,SI,SPS 3140
56,175,55037,1995,40.15,2007-2008,Convencional,Normal,52,Directa,NO,SI,NK 66
56,162,66775,2531,50.95,2009-2010,Convencional,Normal,52,Directa,NO,SI,NK 50
56,146,38913,1641,44.28,2009-2010,Clearfield,Normal,70,Directa,NO,SI,NK 46 CL
56,165,41182,2356,42.64,2007-2008,Alto Oleico,Normal,70,Directa,NO,SI,NK 34 AO
56,170,43369,2529,44.9,2008-2009,Convencional,Normal,70,Directa,NO,SI,NK 34 AO
56,170,39506,1899,49.33,2009-2010,Convencional,Normal,70,Directa,NO,SI,NK 34 AO
56,129,48626,3207,45.05,2003-2004,Convencional,Normal,52,Directa,NO,SI,DEKASOL 4050
56,165,44631,2736,42.22,2003-2004,Convencional,Normal,70,Directa,NO,SI,DEKASOL 4050
56,135,47619,2974,48.76,2008-2009,Alto Oleico,Normal,70,Directa,NO,NO,DEKASOL 3945 OIL PLUS
56,161,70837,2646,53.74,2009-2010,Convencional,Normal,52,Directa,NO,SI,DEKASOL 3820
56,110,39786,4055,49.78,2010-2011,Convencional,Normal,70,Directa,NO,SI,DEKASOL 3820
56,125,47925,3162,45.6,2003-2004,Convencional,Normal,52,Directa,NO,SI,ATUEL
56,140,57649,2905,53.68,2003-2004,Convencional,Normal,52,Directa,NO,SI,AGROBEL 972
56,125,49828,2853,49.21,2003-2004,Convencional,Normal,52,Directa,NO,SI,AGROBEL 972
56,140,42732,2351,52.35,2003-2004,Convencional,Normal,70,Directa,NO,SI,AGROBEL 972
56,175,55671,2126,41.85,2007-2008,Convencional,Normal,52,Directa,NO,SI,AGROBEL 972
